DELIVERY_ID,VEHICLE_ID,ROUTE_ID,HUB_ID,DELIVERY_DATE,DEPARTURE_TIME,ARRIVAL_TIME,PACKAGE_COUNT,TOTAL_WEIGHT_KG,TOTAL_VOLUME_M3,DELIVERY_SUCCESS_COUNT,DELIVERY_FAIL_COUNT,FAIL_REASON,DRIVER_NAME,STATUS
DLV0000088,VHC021,RTE015,HUB008,2023-01-05,09:18,11:32,3,42.9,0.08,3,0,,장민수,COMPLETED
DLV0000089,VHC018,RTE010,HUB001,2023-01-05,07:49,08:26,213,3068.5,13.39,207,6,배송불가지역,유재석,PARTIAL
DLV0000090,VHC012,RTE004,HUB001,2023-01-05,23:35,02:00,52,860.9,3.43,50,2,주소불명,성동일,PARTIAL
DLV0000091,VHC003,RTE013,HUB007,2023-01-05,13:27,14:59,390,4787.6,20.44,361,29,배송불가지역,김도현,PARTIAL
DLV0000092,VHC015,RTE010,HUB001,2023-01-05,08:05,08:34,55,672.9,2.77,52,3,반송요청,양상현,PARTIAL
DLV0000093,VHC015,RTE013,HUB007,2023-01-05,10:04,11:04,67,975.9,4.01,64,3,배송불가지역,양상현,PARTIAL
DLV0000094,VHC018,RTE007,HUB005,2023-01-05,07:06,08:10,317,4000.0,17.92,295,22,주소불명,유재석,PARTIAL
DLV0000095,VHC021,RTE005,HUB002,2023-01-05,09:29,10:52,3,50.0,0.09,3,0,,장민수,COMPLETED
DLV0000096,VHC016,RTE011,HUB001,2023-01-05,08:50,09:35,312,4000.0,15.84,302,10,반송요청,오영택,PARTIAL
DLV0000097,VHC018,RTE003,HUB001,2023-01-05,23:55,04:11,245,3614.1,14.01,228,17,수취인부재,유재석,PARTIAL
DLV0000098,VHC021,RTE017,HUB006,2023-01-05,18:28,19:40,3,49.3,0.1,3,0,,장민수,COMPLETED
DLV0000099,VHC007,RTE011,HUB001,2023-01-05,06:32,07:16,773,11000.0,52.0,733,40,배송불가지역,류한수,PARTIAL
DLV0000100,VHC016,RTE017,HUB006,2023-01-06,20:43,22:07,271,3515.6,14.63,260,11,반송요청,오영택,PARTIAL
DLV0000101,VHC022,RTE011,HUB001,2023-01-06,10:55,11:41,2,33.9,0.07,2,0,,전성국,COMPLETED
DLV0000102,VHC023,RTE005,HUB002,2023-01-06,10:45,11:43,39,500.0,2.45,37,2,주소불명,정도영,PARTIAL
DLV0000103,VHC014,RTE011,HUB001,2023-01-06,09:32,10:33,76,1000.0,4.5,71,5,수취인부재,안재원,PARTIAL
DLV0000104,VHC006,RTE007,HUB005,2023-01-06,06:18,07:17,686,11000.0,46.2,632,54,주소불명,노재현,PARTIAL
DLV0000105,VHC019,RTE017,HUB006,2023-01-06,21:09,22:35,2,37.3,0.07,2,0,,이준기,COMPLETED
DLV0000106,VHC021,RTE006,HUB003,2023-01-06,09:39,11:31,3,45.3,0.08,3,0,,장민수,COMPLETED
DLV0000107,VHC016,RTE008,HUB004,2023-01-06,08:43,10:48,272,3780.0,17.21,258,14,주소불명,오영택,PARTIAL
DLV0000108,VHC016,RTE010,HUB001,2023-01-06,10:08,10:34,302,4000.0,16.81,291,11,주소불명,오영택,PARTIAL
DLV0000109,VHC017,RTE012,HUB007,2023-01-06,09:48,11:24,275,3472.9,15.93,256,19,배송불가지역,우성진,PARTIAL
DLV0000110,VHC018,RTE005,HUB002,2023-01-06,06:26,07:35,308,3875.9,18.0,287,21,배송불가지역,유재석,PARTIAL
DLV0000111,VHC008,RTE013,HUB007,2023-01-06,10:08,,903,11000.0,44.49,834,69,배송불가지역,문준호,IN_TRANSIT
DLV0000112,VHC017,RTE005,HUB002,2023-01-06,08:13,09:24,300,4000.0,17.52,278,22,수취인부재,우성진,PARTIAL
DLV0000113,VHC025,RTE017,HUB006,2023-01-06,21:40,22:46,32,500.0,2.24,31,1,주소불명,최성훈,PARTIAL
DLV0000114,VHC004,RTE016,HUB002,2023-01-06,20:27,,350,4240.6,20.21,336,14,주소불명,김민재,IN_TRANSIT
DLV0000115,VHC013,RTE008,HUB004,2023-01-06,06:33,08:27,69,909.6,4.03,66,3,배송불가지역,송경훈,PARTIAL
DLV0000116,VHC018,RTE019,HUB007,2023-01-06,11:47,,210,3628.5,14.02,200,10,배송불가지역,유재석,IN_TRANSIT
DLV0000117,VHC003,RTE012,HUB007,2023-01-06,10:02,11:32,296,4728.1,20.58,279,17,배송불가지역,김도현,PARTIAL
DLV0000118,VHC022,RTE006,HUB003,2023-01-06,07:51,09:41,3,50.0,0.1,3,0,,전성국,COMPLETED
DLV0000119,VHC016,RTE002,HUB001,2023-01-06,23:25,03:06,243,2987.3,11.96,236,7,배송불가지역,오영택,PARTIAL
DLV0000120,VHC010,RTE002,HUB001,2023-01-06,22:07,01:42,823,10824.2,47.15,767,56,배송불가지역,백승재,PARTIAL
DLV0000121,VHC014,RTE015,HUB008,2023-01-06,11:59,13:55,79,1000.0,4.5,75,4,반송요청,안재원,PARTIAL
DLV0000122,VHC003,RTE014,HUB006,2023-01-06,09:05,10:50,271,4246.7,21.54,256,15,배송불가지역,김도현,PARTIAL
DLV0000123,VHC016,RTE014,HUB006,2023-01-06,13:27,15:49,228,3346.5,14.15,213,15,배송불가지역,오영택,PARTIAL
DLV0000124,VHC002,RTE003,HUB001,2023-01-06,21:09,01:57,361,5000.0,23.82,337,24,주소불명,권태양,PARTIAL
DLV0000125,VHC016,RTE002,HUB001,2023-01-06,23:09,03:12,223,2996.0,13.2,213,10,수취인부재,오영택,PARTIAL
DLV0000126,VHC013,RTE015,HUB008,2023-01-06,10:07,,75,1000.0,4.3,72,3,배송불가지역,송경훈,IN_TRANSIT
DLV0000127,VHC006,RTE016,HUB002,2023-01-06,19:39,02:10,744,11000.0,45.42,693,51,반송요청,노재현,PARTIAL
DLV0000128,VHC017,RTE007,HUB005,2023-01-06,06:51,08:30,222,3815.0,16.14,206,16,반송요청,우성진,PARTIAL
DLV0000129,VHC023,RTE012,HUB007,2023-01-07,10:50,12:14,28,432.7,1.96,27,1,주소불명,정도영,PARTIAL
DLV0000130,VHC007,RTE005,HUB002,2023-01-07,10:08,10:54,500,7493.5,32.67,471,29,반송요청,류한수,PARTIAL
DLV0000131,VHC011,RTE013,HUB007,2023-01-07,10:20,11:38,63,1000.0,4.3,59,4,수취인부재,서준영,PARTIAL
DLV0000132,VHC023,RTE017,HUB006,2023-01-07,19:27,20:55,24,414.8,2.09,23,1,주소불명,정도영,PARTIAL
DLV0000133,VHC004,RTE017,HUB006,2023-01-07,22:57,23:43,217,2829.4,12.94,203,14,배송불가지역,김민재,PARTIAL
DLV0000134,VHC007,RTE019,HUB007,2023-01-07,13:37,14:42,510,8039.5,36.97,493,17,주소불명,류한수,PARTIAL
DLV0000135,VHC025,RTE011,HUB001,2023-01-07,06:41,07:37,29,458.8,2.33,29,0,,최성훈,COMPLETED
DLV0000136,VHC007,RTE014,HUB006,2023-01-07,12:15,14:21,598,7292.6,35.43,564,34,배송불가지역,류한수,PARTIAL
DLV0000137,VHC011,RTE015,HUB008,2023-01-07,11:38,14:06,41,515.4,2.18,39,2,주소불명,서준영,PARTIAL
DLV0000138,VHC012,RTE012,HUB007,2023-01-07,10:29,12:05,62,802.3,3.34,59,3,배송불가지역,성동일,PARTIAL
DLV0000139,VHC005,RTE004,HUB001,2023-01-07,22:59,00:57,205,3638.8,18.61,195,10,주소불명,나성식,PARTIAL
DLV0000140,VHC006,RTE016,HUB002,2023-01-07,21:32,03:26,695,10296.0,49.93,657,38,수취인부재,노재현,PARTIAL
DLV0000141,VHC020,RTE012,HUB007,2023-01-07,12:18,14:15,2,28.2,0.05,2,0,,임현우,COMPLETED
DLV0000142,VHC015,RTE005,HUB002,2023-01-07,06:36,07:37,60,991.6,4.47,58,2,반송요청,양상현,PARTIAL
DLV0000143,VHC011,RTE003,HUB001,2023-01-07,21:06,02:00,49,720.6,3.11,46,3,수취인부재,서준영,PARTIAL
DLV0000144,VHC012,RTE019,HUB007,2023-01-07,09:02,09:49,61,1000.0,4.0,58,3,수취인부재,성동일,PARTIAL
DLV0000145,VHC017,RTE017,HUB006,2023-01-07,19:25,20:46,202,3169.0,13.59,193,9,배송불가지역,우성진,PARTIAL
DLV0000146,VHC011,RTE011,HUB001,2023-01-07,06:23,07:10,51,780.6,3.33,49,2,반송요청,서준영,PARTIAL
DLV0000147,VHC015,RTE010,HUB001,2023-01-07,08:41,09:46,58,958.1,4.26,57,1,반송요청,양상현,PARTIAL
DLV0000148,VHC020,RTE008,HUB004,2023-01-07,10:49,12:08,2,44.0,0.08,2,0,,임현우,COMPLETED
DLV0000149,VHC023,RTE008,HUB004,2023-01-07,08:26,10:15,20,360.3,1.57,20,0,,정도영,COMPLETED
DLV0000150,VHC015,RTE017,HUB006,2023-01-07,19:33,20:32,58,1000.0,4.5,55,3,수취인부재,양상현,PARTIAL
DLV0000151,VHC023,RTE016,HUB002,2023-01-07,22:22,04:50,26,362.8,1.6,25,1,배송불가지역,정도영,PARTIAL
DLV0000152,VHC023,RTE009,HUB001,2023-01-07,08:49,09:30,27,356.7,1.6,26,1,주소불명,정도영,PARTIAL
DLV0000153,VHC024,RTE016,HUB002,2023-01-07,20:07,02:18,23,334.0,1.73,22,1,배송불가지역,조현우,PARTIAL
DLV0000154,VHC013,RTE005,HUB002,2023-01-08,08:47,09:39,46,642.1,2.87,44,2,반송요청,송경훈,PARTIAL
DLV0000155,VHC019,RTE009,HUB001,2023-01-08,10:15,11:21,3,50.0,0.09,3,0,,이준기,COMPLETED
DLV0000156,VHC018,RTE008,HUB004,2023-01-08,07:00,09:04,219,2703.6,11.35,205,14,수취인부재,유재석,PARTIAL
DLV0000157,VHC006,RTE014,HUB006,2023-01-08,11:18,13:37,607,10501.3,46.92,570,37,배송불가지역,노재현,PARTIAL
DLV0000158,VHC003,RTE008,HUB004,2023-01-08,09:56,11:58,262,4287.8,22.24,243,19,주소불명,김도현,PARTIAL
DLV0000159,VHC002,RTE013,HUB007,2023-01-08,09:00,10:26,291,3829.5,19.14,270,21,배송불가지역,권태양,PARTIAL
DLV0000160,VHC012,RTE010,HUB001,2023-01-08,10:29,11:36,50,801.9,3.45,47,3,주소불명,성동일,PARTIAL
DLV0000161,VHC012,RTE006,HUB003,2023-01-08,08:36,09:58,57,906.7,4.05,56,1,배송불가지역,성동일,PARTIAL
DLV0000162,VHC021,RTE013,HUB007,2023-01-08,10:08,11:52,2,44.7,0.08,2,0,,장민수,COMPLETED
DLV0000163,VHC001,RTE009,HUB001,2023-01-08,08:41,09:23,244,3593.0,16.23,233,11,수취인부재,강민호,PARTIAL
DLV0000164,VHC023,RTE004,HUB001,2023-01-08,23:07,01:39,25,329.5,1.63,24,1,배송불가지역,정도영,PARTIAL
DLV0000165,VHC013,RTE008,HUB004,2023-01-08,09:44,11:21,45,577.5,2.29,42,3,배송불가지역,송경훈,PARTIAL
DLV0000166,VHC019,RTE007,HUB005,2023-01-08,10:28,11:41,2,46.5,0.09,2,0,,이준기,COMPLETED
DLV0000167,VHC020,RTE004,HUB001,2023-01-08,21:10,23:20,2,31.7,0.06,2,0,,임현우,COMPLETED
DLV0000168,VHC004,RTE007,HUB005,2023-01-08,09:08,10:26,283,4235.6,21.81,269,14,수취인부재,김민재,PARTIAL
DLV0000169,VHC002,RTE019,HUB007,2023-01-08,10:37,11:29,253,4276.8,21.27,241,12,수취인부재,권태양,PARTIAL
DLV0000170,VHC024,RTE003,HUB001,2023-01-08,21:18,02:11,26,325.3,1.67,24,2,반송요청,조현우,PARTIAL
DLV0000171,VHC022,RTE014,HUB006,2023-01-08,12:24,14:46,2,42.3,0.08,2,0,,전성국,COMPLETED
DLV0000172,VHC019,RTE005,HUB002,2023-01-08,10:08,11:02,2,38.9,0.07,2,0,,이준기,COMPLETED
DLV0000173,VHC001,RTE001,HUB001,2023-01-08,21:15,02:35,314,4642.6,23.07,298,16,반송요청,강민호,PARTIAL
DLV0000174,VHC007,RTE004,HUB001,2023-01-08,21:13,23:27,448,7154.9,32.91,414,34,수취인부재,류한수,PARTIAL
DLV0000175,VHC016,RTE002,HUB001,2023-01-08,21:32,00:56,182,2242.6,9.46,172,10,수취인부재,오영택,PARTIAL
DLV0000176,VHC025,RTE011,HUB001,2023-01-08,10:14,11:10,26,444.8,2.25,25,1,주소불명,최성훈,PARTIAL
DLV0000177,VHC019,RTE006,HUB003,2023-01-08,09:50,11:39,2,39.8,0.08,2,0,,이준기,COMPLETED
DLV0000178,VHC015,RTE005,HUB002,2023-01-08,08:54,10:19,46,615.8,2.65,45,1,주소불명,양상현,PARTIAL
DLV0000179,VHC002,RTE019,HUB007,2023-01-08,10:21,11:40,248,3597.9,17.2,236,12,배송불가지역,권태양,PARTIAL
DLV0000180,VHC013,RTE003,HUB001,2023-01-08,21:12,01:55,52,891.2,3.45,50,2,수취인부재,송경훈,PARTIAL
DLV0000181,VHC017,RTE007,HUB005,2023-01-09,06:47,08:06,313,4000.0,18.0,304,9,주소불명,우성진,PARTIAL
DLV0000182,VHC008,RTE007,HUB005,2023-01-09,10:41,11:49,704,9463.5,40.9,673,31,반송요청,문준호,PARTIAL
DLV0000183,VHC018,RTE016,HUB002,2023-01-09,19:23,01:07,264,4000.0,17.9,247,17,배송불가지역,유재석,PARTIAL
DLV0000184,VHC008,RTE005,HUB002,2023-01-09,07:12,08:14,577,8845.9,40.43,539,38,배송불가지역,문준호,PARTIAL
DLV0000185,VHC008,RTE016,HUB002,2023-01-09,21:29,03:53,755,11000.0,47.71,704,51,반송요청,문준호,PARTIAL
DLV0000186,VHC006,RTE005,HUB002,2023-01-09,10:02,10:48,812,11000.0,52.0,766,46,수취인부재,노재현,PARTIAL
DLV0000187,VHC023,RTE002,HUB001,2023-01-09,21:13,00:45,37,500.0,2.5,36,1,주소불명,정도영,PARTIAL
DLV0000188,VHC021,RTE016,HUB002,2023-01-09,18:33,00:43,3,43.5,0.08,3,0,,장민수,COMPLETED
DLV0000189,VHC011,RTE001,HUB001,2023-01-09,21:58,03:18,67,1000.0,4.21,62,5,주소불명,서준영,PARTIAL
DLV0000190,VHC007,RTE017,HUB006,2023-01-09,21:36,22:55,656,9270.2,44.22,634,22,반송요청,류한수,PARTIAL
DLV0000191,VHC011,RTE003,HUB001,2023-01-09,22:35,03:21,71,1000.0,4.5,69,2,반송요청,서준영,PARTIAL
DLV0000192,VHC024,RTE006,HUB003,2023-01-09,10:58,,27,465.3,2.28,26,1,수취인부재,조현우,IN_TRANSIT
DLV0000193,VHC007,RTE016,HUB002,2023-01-09,19:59,01:41,662,11000.0,51.32,633,29,수취인부재,류한수,PARTIAL
DLV0000194,VHC007,RTE005,HUB002,2023-01-09,10:15,11:42,823,11000.0,48.34,796,27,주소불명,류한수,PARTIAL
DLV0000195,VHC023,RTE019,HUB007,2023-01-09,13:47,14:19,31,500.0,2.19,29,2,수취인부재,정도영,PARTIAL
DLV0000196,VHC015,RTE008,HUB004,2023-01-09,08:01,09:55,77,1000.0,4.5,72,5,반송요청,양상현,PARTIAL
DLV0000197,VHC016,RTE016,HUB002,2023-01-09,18:49,01:14,235,3610.2,15.03,226,9,반송요청,오영택,PARTIAL
DLV0000198,VHC024,RTE003,HUB001,2023-01-09,22:23,02:35,27,352.1,1.75,26,1,반송요청,조현우,PARTIAL
DLV0000199,VHC011,RTE015,HUB008,2023-01-09,13:35,15:22,62,856.8,3.38,60,2,반송요청,서준영,PARTIAL
DLV0000200,VHC003,RTE012,HUB007,2023-01-09,11:26,12:42,344,5000.0,25.0,319,25,수취인부재,김도현,PARTIAL
DLV0000201,VHC019,RTE008,HUB004,2023-01-09,08:17,09:32,3,45.1,0.08,3,0,,이준기,COMPLETED
DLV0000202,VHC010,RTE014,HUB006,2023-01-10,13:39,15:14,672,11000.0,47.96,621,51,반송요청,백승재,PARTIAL
